predicted_intent,cases,escalated,auto_handle,escalation_percentage,distribution
ACCOUNT_ACCESS_SECURITY,1,1,0,100.0,predicted_intent
APP_TECHNICAL_COMPATIBILITY,5,0,5,0.0,predicted_intent
BILLING_PAYMENT_REFUND,2,0,2,0.0,predicted_intent
COMMUNITY_INTEGRATIONS,2,0,2,0.0,predicted_intent
DOWNLOADS_OFFLINE_STORAGE,1,0,1,0.0,predicted_intent
OTHER_UNCLEAR,3,3,0,100.0,predicted_intent
PLAYBACK_AUDIO,2,0,2,0.0,predicted_intent
PLAYLIST_LIBRARY_DISCOVERY,2,0,2,0.0,predicted_intent
SUBSCRIPTION_PLAN,2,0,2,0.0,predicted_intent
ACCOUNT_ACCESS_SECURITY,1,1,0,100.0,true_intent
APP_TECHNICAL_COMPATIBILITY,6,0,6,0.0,true_intent
BILLING_PAYMENT_REFUND,2,0,2,0.0,true_intent
COMMUNITY_INTEGRATIONS,2,0,2,0.0,true_intent
FEATURE_REQUEST_PRODUCT_FEEDBACK,1,1,0,100.0,true_intent
OTHER_UNCLEAR,2,2,0,100.0,true_intent
PLAYBACK_AUDIO,2,0,2,0.0,true_intent
PLAYLIST_LIBRARY_DISCOVERY,2,0,2,0.0,true_intent
SUBSCRIPTION_PLAN,2,0,2,0.0,true_intent
