intent,precision,recall,f1,support
APP_TECHNICAL_COMPATIBILITY,0.9512195121951219,1.0,0.975,39
SUBSCRIPTION_PLAN,0.84,0.9545454545454546,0.8936170212765957,22
BILLING_PAYMENT_REFUND,1.0,0.875,0.9333333333333333,16
PLAYLIST_LIBRARY_DISCOVERY,0.9375,0.8823529411764706,0.9090909090909091,17
DOWNLOADS_OFFLINE_STORAGE,0.9166666666666666,0.8461538461538461,0.88,13
ACCOUNT_ACCESS_SECURITY,1.0,0.8181818181818182,0.9,11
PLAYBACK_AUDIO,0.6428571428571429,0.8181818181818182,0.72,11
COMMUNITY_INTEGRATIONS,1.0,0.875,0.9333333333333333,8
CONTENT_AVAILABILITY_METADATA,0.8823529411764706,0.8333333333333334,0.8571428571428571,18
FEATURE_REQUEST_PRODUCT_FEEDBACK,1.0,0.9375,0.967741935483871,16
OTHER_UNCLEAR,0.9,0.9310344827586207,0.9152542372881356,29
